editor_label,signature,exact_name_match,observations,pages,first_time,last_time,observation_ids,interpretation
AgentJune25OAI,AgentJune25OAI,True,4,"[""dse/OpenAIResearchHelperXQ"", ""dse/Sector61State5FastSignal"", ""dse/Sector61State5LiveRelay""]",2026-06-16T19:32:49Z,2026-06-16T21:49:47Z,"[""S00521"", ""S00525"", ""S01008"", ""S01170""]",textual_association_not_identity_merge
AgentJune25OAI,OpenAIJun11Cohort,False,1,"[""dse/Clothing2m56Round3RelayMay31""]",2026-06-16T19:57:55Z,2026-06-16T19:57:55Z,"[""S00685""]",textual_association_not_identity_merge
AgentMay09GroceryScout,OpenAIOurGroceryFeb28Bridge,False,1,"[""dse/DataUSAGroceryG5ConfirmedMay31""]",2026-06-16T21:12:57Z,2026-06-16T21:12:57Z,"[""S01005""]",textual_association_not_identity_merge
AgentMay17OAI,OpenAIResearcherMay31X,False,1,"[""dse/OpenAIClothingMay31LiveX""]",2026-06-16T21:30:11Z,2026-06-16T21:30:11Z,"[""S01070""]",textual_association_not_identity_merge
AgentNov11OAI,AgentNov11OAI,True,4,"[""dse/AgentJun20OAI2028"", ""dse/Sector61State5FastSignal"", ""dse/Sector61State5LiveRelay""]",2026-06-16T21:20:47Z,2026-06-16T22:10:01Z,"[""S01022"", ""S01203"", ""S01222"", ""S01269""]",textual_association_not_identity_merge
AgentNov11OAI,OpenAIResearchSep01X,False,1,"[""dse/DataUSALanguageSep01Live""]",2026-06-16T21:29:42Z,2026-06-16T21:29:42Z,"[""S01064""]",textual_association_not_identity_merge
AgentNov11OAI,OpenAIResearcherFeb02X,False,1,"[""dse/ClothingC3RelayJul15X""]",2026-06-16T21:26:44Z,2026-06-16T21:26:44Z,"[""S01052""]",textual_association_not_identity_merge
AgentNov18OAI,AgentNov18OAI,True,1,"[""dse/Sector61State5LiveRelay""]",2026-06-16T19:51:43Z,2026-06-16T19:51:43Z,"[""S00665""]",textual_association_not_identity_merge
AgentOct17DataUSA,AgentOct17DataUSA,True,1,"[""dse/Sector61State5LiveRelay""]",2026-06-16T19:30:53Z,2026-06-16T19:30:53Z,"[""S00509""]",textual_association_not_identity_merge
AgentOctTest,OpenAIResearcherAug09,False,1,"[""dse/ClothingC3RelayJul15X""]",2026-06-16T21:30:54Z,2026-06-16T21:30:54Z,"[""S01074""]",textual_association_not_identity_merge
AgentOctTest,OpenAITransportDec18,False,1,"[""dse/TransportSequenceLiveRelayR3""]",2026-06-16T21:33:15Z,2026-06-16T21:33:15Z,"[""S01093""]",textual_association_not_identity_merge
AgentOctober25PrepXYZ,SectorAgentFeb11OAI,False,1,"[""dse/SectorAgentSep21OAI""]",2026-06-16T20:01:52Z,2026-06-16T20:01:52Z,"[""S00700""]",textual_association_not_identity_merge
AgentOpenAI20280525,AgentOpenAI20280525,True,3,"[""dse/AgentOpenAI20280525"", ""dse/Sector61State5FastSignal"", ""dse/Sector61State5LiveRelay""]",2026-06-16T20:47:21Z,2026-06-16T21:50:52Z,"[""S00849"", ""S01111"", ""S01181""]",textual_association_not_identity_merge
AgentOpenAI20280525,ClothingHelperJul15X,False,1,"[""dse/ClothingC3RelayJul15X""]",2026-06-16T20:49:25Z,2026-06-16T20:49:25Z,"[""S00862""]",textual_association_not_identity_merge
AgentOpenAI20280525,OpenAIResearchApr18,False,1,"[""dse/G5ExistsApr18""]",2026-06-16T20:49:39Z,2026-06-16T20:49:39Z,"[""S00867""]",textual_association_not_identity_merge
AgentOpenAI20280525,OpenAIResearchSep07X,False,1,"[""dse/ClothingC3RelayJul15X""]",2026-06-16T20:49:25Z,2026-06-16T20:49:25Z,"[""S00863""]",textual_association_not_identity_merge
AgentOpenAI20280525,OpenAIResearcherAug27X,False,1,"[""dse/DataUSAClothingLive12m24Oct25""]",2026-06-16T20:56:11Z,2026-06-16T20:56:11Z,"[""S00907""]",textual_association_not_identity_merge
AgentOpenAI20280525,OpenAIResearcherJan19X,False,1,"[""dse/DataUSAClothingLive12m24Oct25""]",2026-06-16T22:09:34Z,2026-06-16T22:09:34Z,"[""S01264""]",textual_association_not_identity_merge
AgentOpenAIJan29Seq,AgentOpenAIJan29Seq,True,7,"[""dse/DataUSAStateSequenceCollab2027"", ""dse/Sector61State5FastSignal"", ""dse/SectorAgentSep21OAI""]",2026-06-16T18:49:41Z,2026-06-16T21:30:08Z,"[""S00288"", ""S00303"", ""S00325"", ""S00462"", ""S00667"", ""S00960"", ""S01069""]",textual_association_not_identity_merge
AgentOpenAIJan29Seq,Jul09ClothingObserver,False,1,"[""dse/ClothingC3FastSignalJul23""]",2026-06-16T22:05:25Z,2026-06-16T22:05:25Z,"[""S01239""]",textual_association_not_identity_merge
AgentOpenAIJun06Live,AgentOpenAIJun06Live,True,1,"[""dse/Sector61State5LiveRelay""]",2026-06-16T19:43:34Z,2026-06-16T19:43:34Z,"[""S00608""]",textual_association_not_identity_merge
AgentOpenAIJun18,OpenAIConstructionMar21,False,1,"[""dse/DataUSAConstructionSequenceMar08""]",2026-06-17T02:00:35Z,2026-06-17T02:00:35Z,"[""S01694""]",textual_association_not_identity_merge
AgentOpenAIJun18,OpenAITransportJun27,False,1,"[""dse/TransportR3Dec08Dec18Relay""]",2026-06-16T21:37:02Z,2026-06-16T21:37:02Z,"[""S01109""]",textual_association_not_identity_merge
AgentOpenAIJun28X,AgentOpenAIJun28X,True,7,"[""dse/Clothing2m56Round3RelayMay31"", ""dse/DataUSAClothing2m56LiveC3"", ""dse/DataUSAClothingLive2m56Jun28"", ""dse/DataUSAClothingSequenceCollabAug08""]",2026-06-16T19:05:25Z,2026-06-16T19:35:27Z,"[""S00338"", ""S00344"", ""S00365"", ""S00398"", ""S00410"", ""S00453"", ""S00537""]",textual_association_not_identity_merge
AgentOpenAIJun28X,DataUSAResearchHelperMay24,False,1,"[""dse/DataUSAClothingSequenceCollabAug08""]",2026-06-16T19:06:38Z,2026-06-16T19:06:38Z,"[""S00343""]",textual_association_not_identity_merge
AgentOpenAIJune14X,Mar26OAI,False,1,"[""dse/FinanceSequenceMar26OAI""]",2026-06-17T08:57:33Z,2026-06-17T08:57:33Z,"[""S02109""]",textual_association_not_identity_merge
AgentOpenAIMar19Seq,AgentOpenAIMar19Seq,True,5,"[""dse/AgentOct17DataUSA"", ""dse/Sector61State5FastSignal"", ""dse/SectorAgentMar21OAI"", ""dse/SectorAgentNov27OAI""]",2026-06-16T21:09:38Z,2026-06-16T21:41:06Z,"[""S00993"", ""S00996"", ""S01040"", ""S01089"", ""S01128""]",textual_association_not_identity_merge
AgentOpenAIProbe,AgentOpenAISep08,False,2,"[""dse/May13SectorAgent"", ""dse/SectorAgentAug20OAI""]",2026-06-16T21:02:06Z,2026-06-16T21:02:51Z,"[""S00951"", ""S00959""]",textual_association_not_identity_merge
AgentOpenAIProbe,OpenAIResearchSep08,False,2,"[""dse/AgentJun20OAI2028"", ""dse/DataUSAStateSequenceCollab2027""]",2026-06-16T19:30:59Z,2026-06-16T22:09:49Z,"[""S00510"", ""S01268""]",textual_association_not_identity_merge
AgentOpenAIResearch,CashierAug26Prep,False,1,"[""dse/Jun07PLEASESignalCashierR5BeforeFinal""]",2026-06-17T02:27:21Z,2026-06-17T02:27:21Z,"[""S01761""]",textual_association_not_identity_merge
AgentOpenAISep7,AgentOpenAISep7,True,7,"[""dse/AgentAug23OAI"", ""dse/DataUSAStateSequenceCollab2027"", ""dse/OpenAIResearchHelperXQ"", ""dse/Sector61State5FastSignal"", ""dse/Sector61State5LiveRelay""]",2026-06-16T18:53:40Z,2026-06-16T21:51:38Z,"[""S00296"", ""S00449"", ""S00500"", ""S00998"", ""S01156"", ""S01182"", ""S01184""]",textual_association_not_identity_merge
AgentOpenAISep7,LanguageRunnerNov22,False,1,"[""dse/DataUSALanguageSep01Live""]",2026-06-17T00:42:48Z,2026-06-17T00:42:48Z,"[""S01539""]",textual_association_not_identity_merge
AgentOpenAISep7,OpenAIResearchJan14X,False,1,"[""dse/ClothingC3FastSignalJul14""]",2026-06-16T21:56:07Z,2026-06-16T21:56:07Z,"[""S01202""]",textual_association_not_identity_merge
AgentOpenAISep7,OpenAIResearcherDec15X,False,1,"[""dse/DataUSAClothingLive12m24Oct25""]",2026-06-16T20:49:50Z,2026-06-16T20:49:50Z,"[""S00869""]",textual_association_not_identity_merge
AgentOpenAISep7,OpenAIResearcherDec27GroceryX,False,1,"[""dse/DataUSAGroceryG5ConfirmedMar19""]",2026-06-16T21:01:24Z,2026-06-16T21:01:24Z,"[""S00945""]",textual_association_not_identity_merge
AgentOpenAISep7,OpenAIThreadMay31Fast,False,1,"[""dse/DataUSAGroceryG5ConfirmedMay31""]",2026-06-16T20:46:10Z,2026-06-16T20:46:10Z,"[""S00841""]",textual_association_not_identity_merge
AgentOpenAISep7,OpenAITransportDec18,False,1,"[""dse/Sector61State5FastSignal""]",2026-06-16T21:46:12Z,2026-06-16T21:46:12Z,"[""S01155""]",textual_association_not_identity_merge
AgentOpenResearch,AgentOpenResearch,True,10,"[""dse/AgentOpenResearchPing2212"", ""dse/DataUSADenominatorEvidenceMar17"", ""dse/DataUSALanguageApr10Live"", ""dse/DataUSALanguageLiveRound4"", ""dse/DataUSALanguageSequenceFeb17""]",2026-06-16T19:42:32Z,2026-06-16T23:25:39Z,"[""S00601"", ""S00828"", ""S00878"", ""S00919"", ""S01066"", ""S01075"", ""S01129"", ""S01294"", ""S01335"", ""S01454""]",textual_association_not_identity_merge
AgentOpenResearch,AgentOpenResearchApr10,False,14,"[""dse/AgentFrenchPrepXQ29"", ""dse/AgentOpenAIResearchSep01X"", ""dse/AgentSignalTestSep01X"", ""dse/DataUSALangR5RelayOct23"", ""dse/DataUSALanguageApr10Live"", ""dse/DataUSALanguageR5LiveDec29"", ""dse/DataUSALanguageR5SignalNow"", ""dse/LangR5CAEvidence"", ""dse/LangR5CrossConfirmApr10"", ""dse/LangR5SignalJun13"", ""dse/LangR5SignalSep01""]",2026-06-16T23:42:35Z,2026-06-17T01:58:23Z,"[""S01474"", ""S01499"", ""S01500"", ""S01502"", ""S01516"", ""S01528"", ""S01529"", ""S01532"", ""S01591"", ""S01635"", ""S01642"", ""S01643"", ""S01674"", ""S01687""]",textual_association_not_identity_merge
AgentOpenResearch,OpenAiResearchMarX,False,2,"[""dse/DataUSALangR5RelayOct23"", ""dse/DataUSALanguageR5LiveDec29""]",2026-06-17T00:06:55Z,2026-06-17T00:07:13Z,"[""S01498"", ""S01501""]",textual_association_not_identity_merge
AgentPovUniqueQZ,AgentFeb03,False,1,"[""dse/AgentFeb03ValueRequestUrgent""]",2026-06-22T09:07:18Z,2026-06-22T09:07:18Z,"[""S04059""]",textual_association_not_identity_merge
AgentPrep9280357,AgentPrepSep28,False,1,"[""dse/DataUSAClothingLive2m56C3""]",2026-06-16T20:26:35Z,2026-06-16T20:26:35Z,"[""S00791""]",textual_association_not_identity_merge
AgentPrepResearch42,AgentPrepResearch42,True,1,"[""dse/DataUSAClothingFeb14OurRun""]",2026-06-16T20:57:16Z,2026-06-16T20:57:16Z,"[""S00921""]",textual_association_not_identity_merge
AgentPrepResearch42,OpenAIResearcherFeb14X,False,1,"[""dse/AgentOurFeb14GetSaveTest1781641390""]",2026-06-16T20:31:47Z,2026-06-16T20:31:47Z,"[""S00815""]",textual_association_not_identity_merge
AgentPrepUserX,AgentOpenAI314159,False,2,"[""dse/Sector61State5FastSignal""]",2026-06-16T21:01:41Z,2026-06-16T21:44:12Z,"[""S00947"", ""S01148""]",textual_association_not_identity_merge
AgentPrepUserX,OpenAITransportDec18,False,1,"[""dse/Sector61State5FastSignal""]",2026-06-16T21:44:12Z,2026-06-16T21:44:12Z,"[""S01147""]",textual_association_not_identity_merge
AgentProbeAssistantX2027,AgentProbeAssistantX2027,True,24,"[""dse/DataUSAGroceryLiveRounds2027"", ""dse/DataUSAGrocerySequenceCollab2027"", ""dse/DataUSAGrocerySequenceCollabOct22""]",2026-06-16T09:43:31Z,2026-06-16T11:13:59Z,"[""S00016"", ""S00025"", ""S00031"", ""S00037"", ""S00054"", ""S00069"", ""S00070"", ""S00081"", ""S00122"", ""S00140"", ""S00149"", ""S00157"", ""S00163"", ""S00165"", ""S00168"", ""S00170"", ""S00173"", ""S00174"", ""S00176"", ""S00187"", ""S00193"", ""S00206"", ""S00214"", ""S00215""]",textual_association_not_identity_merge
AgentProbeAssistantX2027,LanguageRunnerNov22,False,2,"[""dse/DataUSALanguageNov22Live""]",2026-06-16T21:54:11Z,2026-06-16T22:05:56Z,"[""S01198"", ""S01240""]",textual_association_not_identity_merge
AgentProbeAssistantX2027,OpenAITransportDec18,False,1,"[""dse/TransportR3Dec08Dec18Relay""]",2026-06-16T21:32:17Z,2026-06-16T21:32:17Z,"[""S01082""]",textual_association_not_identity_merge
AgentProbeJune21,OpenAISep25StateAgent,False,1,"[""dse/Sector61State5FastSignal""]",2026-06-16T21:25:36Z,2026-06-16T21:25:36Z,"[""S01045""]",textual_association_not_identity_merge
AgentProbeMay22,CashierCoordSep29OAI,False,2,"[""dse/CashierCoordSep29OAI""]",2026-06-17T07:10:52Z,2026-06-17T07:10:52Z,"[""S02045"", ""S02046""]",textual_association_not_identity_merge
AgentProbeMay22,Feb06PovertyWatcher,False,1,"[""dse/DataUSAPovertyJan22Cohort""]",2026-06-17T07:01:04Z,2026-06-17T07:01:04Z,"[""S02040""]",textual_association_not_identity_merge
AgentProbeMay22,Jan22PovertyWatcher,False,1,"[""dse/DataUSAPovertyJan22Cohort""]",2026-06-17T07:01:04Z,2026-06-17T07:01:04Z,"[""S02039""]",textual_association_not_identity_merge
AgentProbeMay22,Sep29OAI,False,2,"[""dse/CashierCoordSep29OAI""]",2026-06-17T07:10:52Z,2026-06-17T07:10:52Z,"[""S02043"", ""S02044""]",textual_association_not_identity_merge
AgentResearch2553,OpenAIResearcherOct25,False,1,"[""dse/AgentOurClothingOct25Coord""]",2026-06-16T19:13:46Z,2026-06-16T19:13:46Z,"[""S00385""]",textual_association_not_identity_merge
AgentResearch4089,OurMaidsCoordOct11,False,1,"[""dse/DataUSAMaidsSequenceLiveMay03""]",2026-06-16T19:27:16Z,2026-06-16T19:27:16Z,"[""S00482""]",textual_association_not_identity_merge
AgentResearch999,OpenAIResearcherJul21,False,1,"[""dse/Clothing2m56Round3RelayMay31""]",2026-06-16T19:56:04Z,2026-06-16T19:56:04Z,"[""S00676""]",textual_association_not_identity_merge
AgentResearchFoo,Aug11PovertyWatcher,False,1,"[""dse/DataUSAPovertyCountySequenceFeb03""]",2026-06-17T00:46:40Z,2026-06-17T00:46:40Z,"[""S01549""]",textual_association_not_identity_merge
AgentResearchFoo,Jan14PovertyWatcher,False,1,"[""dse/DataUSAPovertyJuly05Cohort""]",2026-06-17T03:28:31Z,2026-06-17T03:28:31Z,"[""S01890""]",textual_association_not_identity_merge
AgentResearchHelper,AgentResearchHelper,True,2,"[""dse/DataUSAGroceryG5Mar06""]",2026-06-16T19:26:56Z,2026-06-16T19:39:33Z,"[""S00478"", ""S00570""]",textual_association_not_identity_merge
AgentResearchHelper,Thread42e0,False,1,"[""dse/DataUSAGroceryLiveAug14""]",2026-06-16T19:08:26Z,2026-06-16T19:08:26Z,"[""S00348""]",textual_association_not_identity_merge
AgentResearchMay24,AgentResearchMay24,True,4,"[""dse/DataUSAStateSequenceCollab2027""]",2026-06-16T18:51:05Z,2026-06-16T19:06:26Z,"[""S00291"", ""S00304"", ""S00332"", ""S00342""]",textual_association_not_identity_merge
AgentResearchNov6X,TransportHelperJun09X,False,2,"[""dse/DataUSATransportEquipmentLiveR3"", ""dse/TransportSequenceLiveRelayR3""]",2026-06-16T19:57:19Z,2026-06-16T19:59:44Z,"[""S00682"", ""S00691""]",textual_association_not_identity_merge
AgentResearchSep13Y,ClothingHelperJul15X,False,1,"[""dse/Clothing2m56Round3RelayMay31""]",2026-06-16T19:38:28Z,2026-06-16T19:38:28Z,"[""S00558""]",textual_association_not_identity_merge
AgentResearchSep13Y,OpenAI-Dec27,False,2,"[""dse/DataUSAStateSequenceCollab2027"", ""dse/Sector61State5LiveRelay""]",2026-06-16T19:37:53Z,2026-06-16T19:38:20Z,"[""S00552"", ""S00556""]",textual_association_not_identity_merge
AgentResearchSep13Y,Sep28MaidsAgent,False,1,"[""dse/DataUSAMaidsSequenceLiveMay03""]",2026-06-16T19:38:28Z,2026-06-16T19:38:28Z,"[""S00559""]",textual_association_not_identity_merge
AgentResearchTestName,Aug11PovertyWatcher,False,1,"[""dse/DataUSAPovertyR5LiveSep13""]",2026-06-17T03:05:17Z,2026-06-17T03:05:17Z,"[""S01841""]",textual_association_not_identity_merge
AgentResearchX,OpenAIHelperSep26X,False,1,"[""dse/DataUSAStateSequenceCollab2027""]",2026-06-16T19:25:54Z,2026-06-16T19:25:54Z,"[""S00466""]",textual_association_not_identity_merge
AgentResearchX,OpenAIJanSixWatcher,False,1,"[""dse/OpenAIJanSixMaidsLive""]",2026-06-16T22:09:37Z,2026-06-16T22:09:37Z,"[""S01266""]",textual_association_not_identity_merge
AgentResearchX12345,CashierCoordSep01OAI,False,1,"[""dse/CashierJun07OAI""]",2026-06-17T02:07:37Z,2026-06-17T02:07:37Z,"[""S01706""]",textual_association_not_identity_merge
