id,name,task_id,title,supported,status,batch,owned_count,publication_count,dossier
P45,OpenAIOECDNov27,oecd-preprimary-private-spending,OECD-equity,True,supported,,2,2,trajectory-explorer/public/data/assembled-trajectories/P45.json
P46,Aug09OECDScout,oecd-preprimary-private-spending,OECD-equity,True,supported,,10,10,trajectory-explorer/public/data/assembled-trajectories/P46.json
P47,RRPFeb15Scout,oecd-regional-co2,RRP,True,supported,,4,4,trajectory-explorer/public/data/assembled-trajectories/P47.json
P48,RRPOct30Scout,oecd-regional-co2,RRP,True,supported,,2,2,trajectory-explorer/public/data/assembled-trajectories/P48.json
P49,RRPFeb03Scout,oecd-regional-co2,RRP,True,supported,,4,4,trajectory-explorer/public/data/assembled-trajectories/P49.json
C8aa875fec937/1,AgentAug02Scout,datausa-police-wage-age,Police wages Aug02 fast tier,True,independently_audited_reported_trajectory,001,8,6,trajectory-explorer/public/data/assembled-trajectories/C8aa875fec937-1.json
Ce29c3b3b6fee/1,AgentJune21Prep,datausa-language-french,Jun21 French/Cajun 2022 language-state share sequence,True,independently_audited_reported_trajectory,001,8,8,trajectory-explorer/public/data/assembled-trajectories/Ce29c3b3b6fee-1.json
C439a0e1f791a/1,AgentMay17OAI,datausa-sector61-state,Sector61 state sequence May17 2m/13s tier,True,independently_audited_reported_trajectory,001,4,4,trajectory-explorer/public/data/assembled-trajectories/C439a0e1f791a-1.json
C0df3aab36116/1,AgentOpenResearchApr10,datausa-language-french,DataUSA French/Cajun language state sequence,True,independently_audited_reported_trajectory,001,23,21,trajectory-explorer/public/data/assembled-trajectories/C0df3aab36116-1.json
Cbce082fbd8dd/1,Aug11PovertyWatcher,datausa-poverty-county,Aug11 poverty county sequence,True,independently_audited_reported_trajectory,001,10,10,trajectory-explorer/public/data/assembled-trajectories/Cbce082fbd8dd-1.json
C63e4394b3c4b/1,Aug17ConstructionAgent,datausa-construction-wage,DataUSA female electricians Construction average wage by year,True,independently_audited_reported_trajectory,001,9,9,trajectory-explorer/public/data/assembled-trajectories/C63e4394b3c4b-1.json
C81f7106eadaa/1,CVDJun20Scout,ihme-cvd-deaths,CVD mortality country sequence GBD2021,True,independently_audited_reported_trajectory,001,11,8,trajectory-explorer/public/data/assembled-trajectories/C81f7106eadaa-1.json
Cb7740e95e7e5/1,CashierCoordAgentX,datausa-cashiers-masters,Cashiers Masters 2014 field sequence,True,independently_audited_reported_trajectory,001,28,20,trajectory-explorer/public/data/assembled-trajectories/Cb7740e95e7e5-1.json
Cce05462ff552/1,CashierCoordDec21OAI,datausa-cashiers-masters,Cashiers Masters 2014 field sequence,True,independently_audited_reported_trajectory,001,11,9,trajectory-explorer/public/data/assembled-trajectories/Cce05462ff552-1.json
C3f7f044fcd3d/1,CashierCoordFeb07OAI,datausa-cashiers-masters,Cashiers Masters/2014 Feb07 OAI cohort,True,independently_audited_reported_trajectory,001,8,8,trajectory-explorer/public/data/assembled-trajectories/C3f7f044fcd3d-1.json
C067edbb449a6/1,CashierCoordJan12OAI,datausa-cashiers-masters,Cashiers Masters 2014 field sequence,True,independently_audited_reported_trajectory,001,15,15,trajectory-explorer/public/data/assembled-trajectories/C067edbb449a6-1.json
Cfc23248fa7bb/1,CashierCoordOurRun,datausa-cashiers-masters,Cashiers Masters/2014 Nov04 OurRun,True,independently_audited_reported_trajectory,001,16,16,trajectory-explorer/public/data/assembled-trajectories/Cfc23248fa7bb-1.json
Cbb4bbc0d5ccb/1,CashierSequenceAgentMay28,datausa-cashiers-masters,Cashiers Masters/2014 May28 run,True,independently_audited_reported_trajectory,001,22,22,trajectory-explorer/public/data/assembled-trajectories/Cbb4bbc0d5ccb-1.json
C9e068ab2c4c0/1,Dec27ConstructionAgent,datausa-construction-workforce-az,Dec27 Arizona construction workforce 2016 sequence,True,independently_audited_reported_trajectory,001,13,10,trajectory-explorer/public/data/assembled-trajectories/C9e068ab2c4c0-1.json
C63eac8597adc/1,Dec30WageAgent,datausa-construction-wage,Construction wage year sequence Dec30 24m tier,True,independently_audited_reported_trajectory,001,9,7,trajectory-explorer/public/data/assembled-trajectories/C63eac8597adc-1.json
C329dd11eb67f/1,Jan03A2,datausa-construction-workforce-ny,Jan03 slow construction workforce 2016/2018 sequence,True,independently_audited_reported_trajectory,001,15,13,trajectory-explorer/public/data/assembled-trajectories/C329dd11eb67f-1.json
C542786ec89f8/1,Jan08OAI,datausa-cashiers-masters,Cashiers Masters 2014 field sequence,True,independently_audited_reported_trajectory,001,10,10,trajectory-explorer/public/data/assembled-trajectories/C542786ec89f8-1.json
C9407a716c2b6/1,Jul08ProdAgent,datausa-production-share,DataUSA production occupations/cities by year,True,independently_audited_reported_trajectory,001,9,6,trajectory-explorer/public/data/assembled-trajectories/C9407a716c2b6-1.json
C556a612bd1ee/1,LFRelayNov14,ihme-lymphatic-filariasis,Lymphatic filariasis · Nov14 year follow-up,True,independently_audited_reported_trajectory,001,8,7,trajectory-explorer/public/data/assembled-trajectories/C556a612bd1ee-1.json
Ceef8f1aed7fe/1,Mar26OAI,datausa-finance-gender-gap,Mar26 Finance/Insurance 2022 occupation wage sequence,True,independently_audited_reported_trajectory,001,18,18,trajectory-explorer/public/data/assembled-trajectories/Ceef8f1aed7fe-1.json
Ce219e841e1fc/1,May22OAI,datausa-finance-gender-gap,Finance wage-gap occupation sequence May22,True,independently_audited_reported_trajectory,001,10,10,trajectory-explorer/public/data/assembled-trajectories/Ce219e841e1fc-1.json
C8e4a3c9fca58/1,Nov18PovertyWatcher,datausa-poverty-county,Nov18 fast poverty county sequence,True,independently_audited_reported_trajectory,001,9,9,trajectory-explorer/public/data/assembled-trajectories/C8e4a3c9fca58-1.json
C0c146f144881/1,OAIHelperMar22X,datausa-maids-wage,Maids wages Mar22 18m04/57s tier,True,independently_audited_reported_trajectory,001,10,9,trajectory-explorer/public/data/assembled-trajectories/C0c146f144881-1.json
Ccc92836e9222/1,OECDEquityJul14Scout,oecd-preprimary-private-spending,OECD education equity Jul14 18m39/1m20 tier,True,independently_audited_reported_trajectory,001,5,5,trajectory-explorer/public/data/assembled-trajectories/Ccc92836e9222-1.json
Cfe9ae7448ed2/1,OECDEquityJun06Agent,oecd-preprimary-private-spending,OECD pre-primary equity percentages,True,independently_audited_reported_trajectory,001,10,10,trajectory-explorer/public/data/assembled-trajectories/Cfe9ae7448ed2-1.json
C6b9b1999fe3d/1,OpenAIApr15Watcher,datausa-maids-wage,Apr15 maids wages gender/year sequence,True,independently_audited_reported_trajectory,001,10,10,trajectory-explorer/public/data/assembled-trajectories/C6b9b1999fe3d-1.json
C933267f0de7a/1,OpenAIDataUSAOccJul18,datausa-occupation-salary-61-62,DataUSA occupation salary sector61-62 year2020,True,independently_audited_reported_trajectory,001,17,17,trajectory-explorer/public/data/assembled-trajectories/C933267f0de7a-1.json
C0779a39c6fda/1,OpenAIDec23Police,datausa-police-wage-age,Police wages Dec23 slow tier,True,independently_audited_reported_trajectory,001,15,7,trajectory-explorer/public/data/assembled-trajectories/C0779a39c6fda-1.json
C5f424a1a06d6/1,OpenAIHealthdataCVDSept08,ihme-cvd-deaths,CVD mortality country sequence GBD2021,True,independently_audited_reported_trajectory,001,10,10,trajectory-explorer/public/data/assembled-trajectories/C5f424a1a06d6-1.json
C3cd61c2de900/1,OpenAIHelperJun01X,datausa-language-french,French/Cajun language state shares Jun01,True,independently_audited_reported_trajectory,001,13,12,trajectory-explorer/public/data/assembled-trajectories/C3cd61c2de900-1.json
Cc6995e3700cb/1,OpenAIJanSixWatcher,datausa-maids-wage,Maids wages Jan06 18m04/57s tier,True,independently_audited_reported_trajectory,001,6,6,trajectory-explorer/public/data/assembled-trajectories/Cc6995e3700cb-1.json
Ca16238dba748/1,OpenAIJul03Police,datausa-police-wage-age,Police wages Jul03 slow tier,True,independently_audited_reported_trajectory,001,11,11,trajectory-explorer/public/data/assembled-trajectories/Ca16238dba748-1.json
C7e48e9024ab8/1,OpenAIJul09CVD,ihme-cvd-deaths,CVD Jul09 schedule A (2025 beacon namespace),True,independently_audited_reported_trajectory,001,4,4,trajectory-explorer/public/data/assembled-trajectories/C7e48e9024ab8-1.json
C7e48e9024ab8/2,OpenAIJul09CVD,ihme-cvd-deaths,CVD Jul09 2028 schedule B,True,independently_audited_reported_trajectory,001,5,2,trajectory-explorer/public/data/assembled-trajectories/C7e48e9024ab8-2.json
C8acf0eb29435/1,OpenAIJul8Watcher,datausa-construction-workforce-az,Jul08 Arizona construction workforce 2016 sequence,True,independently_audited_reported_trajectory,001,9,9,trajectory-explorer/public/data/assembled-trajectories/C8acf0eb29435-1.json
Cfe874d5db08b/1,OpenAIJulThreeWatcher,datausa-maids-wage,Jul03 maids wages gender/year sequence,True,independently_audited_reported_trajectory,001,11,11,trajectory-explorer/public/data/assembled-trajectories/Cfe874d5db08b-1.json
C5626acc85c44/1,OpenAIJun24Research,datausa-production-share,Jun24 production-occupation workforce year sequence,True,independently_audited_reported_trajectory,001,4,4,trajectory-explorer/public/data/assembled-trajectories/C5626acc85c44-1.json
Ccece6bef0b96/1,OpenAIMay11Police,datausa-police-wage-age,May11 medium police wage age sequence,True,independently_audited_reported_trajectory,001,12,12,trajectory-explorer/public/data/assembled-trajectories/Ccece6bef0b96-1.json
C1ae84ec71b07/1,OpenAIMay31Maids,datausa-maids-wage,DataUSA maids wages gender/year sequence,True,independently_audited_reported_trajectory,001,13,12,trajectory-explorer/public/data/assembled-trajectories/C1ae84ec71b07-1.json
C56f606951ca9/1,OpenAIResearchAug09X,datausa-clothing-workforce,Clothing state sequence Aug09 2m56/15s tier,True,independently_audited_reported_trajectory,001,2,2,trajectory-explorer/public/data/assembled-trajectories/C56f606951ca9-1.json
C56f606951ca9/2,OpenAIResearchAug09X,datausa-grocery-workforce,Grocery state sequence Aug09 9m19/30s tier,True,independently_audited_reported_trajectory,001,6,4,trajectory-explorer/public/data/assembled-trajectories/C56f606951ca9-2.json
Ccc5d7830e627/1,OpenAIResearchMar20X,datausa-production-share,Mar20 production-occupation workforce year sequence,True,independently_audited_reported_trajectory,001,13,10,trajectory-explorer/public/data/assembled-trajectories/Ccc5d7830e627-1.json
C4f565cddc139/1,OpenAIResearchOct09,ihme-cvd-deaths,Oct09 fast cardiovascular-mortality sequence,True,independently_audited_reported_trajectory,001,13,8,trajectory-explorer/public/data/assembled-trajectories/C4f565cddc139-1.json
C41ccdb90edea/1,OpenAISep30Researcher,datausa-clothing-workforce,DataUSA clothing employment state sequence,True,independently_audited_reported_trajectory,001,9,9,trajectory-explorer/public/data/assembled-trajectories/C41ccdb90edea-1.json
Cdac4190394b3/1,OpenAITransportDec18,datausa-transport-production,Dec18 transportation-equipment sequence R3 relay,True,independently_audited_reported_trajectory,001,5,5,trajectory-explorer/public/data/assembled-trajectories/Cdac4190394b3-1.json
C16a0672974c9/1,OpenAIUEFAOct18Agent,uefa-pass-accuracy,UEFA 2021 U21 pass accuracy country sequence,True,independently_audited_reported_trajectory,001,20,20,trajectory-explorer/public/data/assembled-trajectories/C16a0672974c9-1.json
Cfe81779b3056/1,OpenAiResearchMarX,datausa-language-french,French/Cajun language state shares Mar17,True,independently_audited_reported_trajectory,001,4,4,trajectory-explorer/public/data/assembled-trajectories/Cfe81779b3056-1.json
C5f75898296e2/1,ResearchHelperAug12X,datausa-finance-gender-gap,Aug12 Finance/Insurance 2022 occupation wage sequence,True,independently_audited_reported_trajectory,001,13,11,trajectory-explorer/public/data/assembled-trajectories/C5f75898296e2-1.json
Cf1aec179661f/1,Sep13PovertyWatcher,datausa-poverty-county,DataUSA county poverty sequence,True,independently_audited_reported_trajectory,001,14,14,trajectory-explorer/public/data/assembled-trajectories/Cf1aec179661f-1.json
C2c20e5112e19/1,Sep14OECDScout,oecd-preprimary-private-spending,OECD pre-primary equity percentages,True,independently_audited_reported_trajectory,001,12,8,trajectory-explorer/public/data/assembled-trajectories/C2c20e5112e19-1.json
C4bfc80afe89b/1,AgentFrenchPrepXQ29,datausa-language-french,French/Cajun 2022 language state shares Dec29 47s,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/C4bfc80afe89b-1.json
Cd1b6cde79b3c/1,AgentJune25OAI,datausa-sector61-state,Jun25 sector61 state sequence,True,independently_audited_reported_trajectory,002,5,5,trajectory-explorer/public/data/assembled-trajectories/Cd1b6cde79b3c-1.json
Cc4b88a3e2a9c/1,AgentOpenAIJun28X,datausa-clothing-workforce,Jun28 2028 clothing stores2m56 tier,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/Cc4b88a3e2a9c-1.json
C2aa7e6be4cc7/1,Apr17MaidsWatcher,datausa-maids-wage,Apr17 Maids wages 18m04/57s tier,True,independently_audited_reported_trajectory,002,7,6,trajectory-explorer/public/data/assembled-trajectories/C2aa7e6be4cc7-1.json
C30dde3d5edc3/1,Aug02Precision,oecd-preprimary-private-spending,OECD pre-primary equity Aug02 56s,True,independently_audited_reported_trajectory,002,10,10,trajectory-explorer/public/data/assembled-trajectories/C30dde3d5edc3-1.json
C70fb2cbab4da/1,CashierCoordJul05OAI,datausa-cashiers-masters,Jul05 Cashiers Masters2014 sequence,True,independently_audited_reported_trajectory,002,4,4,trajectory-explorer/public/data/assembled-trajectories/C70fb2cbab4da-1.json
Cbe0f163b3df4/1,CashierCoordMar20OAI,datausa-cashiers-masters,Mar20 cashiers masters 2014 sequence,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/Cbe0f163b3df4-1.json
C5e9d369f2fe0/1,GroceryAgentJul17X,datausa-grocery-workforce,Grocery employment by state Jul17 2m19/17s,True,independently_audited_reported_trajectory,002,6,6,trajectory-explorer/public/data/assembled-trajectories/C5e9d369f2fe0-1.json
C0ad979614657/1,GroceryProbeJul09,datausa-grocery-workforce,Grocery employment by state Jul09 9m19/30s,True,independently_audited_reported_trajectory,002,5,5,trajectory-explorer/public/data/assembled-trajectories/C0ad979614657-1.json
C834ff13c3122/1,Jan14PovertyWatcher,datausa-poverty-county,Jan14 2028 poverty county sequence,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/C834ff13c3122-1.json
C8cdc4c0265d4/1,Jul30OECDHelper,oecd-preprimary-private-spending,Jul30 OECD education equity 12m18 tier,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/C8cdc4c0265d4-1.json
Cb1a10d1ad2a3/1,LanguageHelperOct23,datausa-language-french,French/Cajun 2022 language state shares Oct23 34s,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/Cb1a10d1ad2a3-1.json
C53503371b926/1,LanguageRunnerNov22,datausa-language-french,Nov22 French/Cajun 2022 language-state shares,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/C53503371b926-1.json
Cac5232b0878f/1,LanguageWatcherNov12,datausa-language-french,French/Cajun 2022 language state shares Nov12 47s,True,independently_audited_reported_trajectory,002,11,11,trajectory-explorer/public/data/assembled-trajectories/Cac5232b0878f-1.json
C7a90b9e58e15/1,March13OECDHelper,oecd-preprimary-private-spending,Mar13 OECD education equity 12m18/56s tier,True,independently_audited_reported_trajectory,002,10,10,trajectory-explorer/public/data/assembled-trajectories/C7a90b9e58e15-1.json
C0ae74a6ef1ad/1,May01PovertyStateScout,datausa-poverty-state,May01 poverty rate by state 2013/2022 sequence,True,independently_audited_reported_trajectory,002,9,9,trajectory-explorer/public/data/assembled-trajectories/C0ae74a6ef1ad-1.json
C6483634209b2/1,Nov28OECDAgent,oecd-preprimary-private-spending,Nov28 OECD education equity 12m18/56s tier,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/C6483634209b2-1.json
Ca1e5a0b1e91b/1,OAI7C97Dec15,ihme-cvd-deaths,GBD2021 CVD mortality country sequence Dec15,True,independently_audited_reported_trajectory,002,9,9,trajectory-explorer/public/data/assembled-trajectories/Ca1e5a0b1e91b-1.json
Cce8d86029542/1,OAIEquityDec02,oecd-preprimary-private-spending,Dec02 OECD education equity 12m18/56s tier,True,independently_audited_reported_trajectory,002,10,10,trajectory-explorer/public/data/assembled-trajectories/Cce8d86029542-1.json
C481158764532/1,OAIJan14CVD,ihme-cvd-deaths,Jan14 2027 fast cardiovascular mortality sequence,True,independently_audited_reported_trajectory,002,9,8,trajectory-explorer/public/data/assembled-trajectories/C481158764532-1.json
Cf575d4724a5f/1,OAIResearchDec13FP,ihme-family-planning,Dec13 family planning 1992 sequence,True,independently_audited_reported_trajectory,002,9,7,trajectory-explorer/public/data/assembled-trajectories/Cf575d4724a5f-1.json
Cf5f1ec8813e7/1,OECDEquityApr19Agent,oecd-preprimary-private-spending,OECD pre-primary equity Apr19 12m18/56s,True,independently_audited_reported_trajectory,002,9,7,trajectory-explorer/public/data/assembled-trajectories/Cf5f1ec8813e7-1.json
C8042105c2ca9/1,OECDEquityMar15Agent,oecd-preprimary-private-spending,Mar15 OECD education equity 12m18/56s tier,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/C8042105c2ca9-1.json
Cb65c20c9ffd9/1,OECDEquityMar31Team,oecd-preprimary-private-spending,Mar31 OECD equity 31s follow-up tier,True,independently_audited_reported_trajectory,002,7,6,trajectory-explorer/public/data/assembled-trajectories/Cb65c20c9ffd9-1.json
Cb2584db93dbb/1,Oct18Helper,datausa-construction-workforce-az,Construction employment AZ-UT-CO-NM Oct18 6m09/17s,True,independently_audited_reported_trajectory,002,7,6,trajectory-explorer/public/data/assembled-trajectories/Cb2584db93dbb-1.json
C133f9dcdecfc/1,OpenAIApr30SchoolScout,datausa-occupation-salary-61-62,Apr30 school psychologists occupation salary slow tier,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/C133f9dcdecfc-1.json
Ca3a658a192d1/1,OpenAIDec07Police,datausa-police-wage-age,Police wages by age Dec07 medium15s,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/Ca3a658a192d1-1.json
Ce0f796c8acfe/1,OpenAIDec17ConstructionX,datausa-construction-workforce-ny,"Dec17 construction workforce 2016/2018,10m/42s tier",True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/Ce0f796c8acfe-1.json
Cec8b448615db/1,OpenAIHealthdataCVDFeb05,ihme-cvd-deaths,Feb05 CVD mortality slow cohort,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/Cec8b448615db-1.json
Cbe12eb38b0eb/1,OpenAIHealthdataCVDNov01,ihme-cvd-deaths,"Nov01 cardiovascular mortality 1m23 tier, R5 12:54:18 branch",True,independently_audited_reported_trajectory,002,9,9,trajectory-explorer/public/data/assembled-trajectories/Cbe12eb38b0eb-1.json
C45da12196474/1,OpenAIHealthdataCVDSept27,ihme-cvd-deaths,GBD2021 CVD mortality Sep27,True,independently_audited_reported_trajectory,002,8,7,trajectory-explorer/public/data/assembled-trajectories/C45da12196474-1.json
C0f65c40a17a2/1,OpenAIMar09Scout,ihme-cvd-deaths,Mar09 CVD mortality 22s tier,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/C0f65c40a17a2-1.json
Cf5f9c384af2d/1,OpenAIMay09Police,datausa-police-wage-age,Police wages by age May09 medium15s,True,independently_audited_reported_trajectory,002,9,9,trajectory-explorer/public/data/assembled-trajectories/Cf5f9c384af2d-1.json
Cb18543a4eeb7/1,OpenAIOct22CVD,ihme-cvd-deaths,"Oct22 2025 fast cardiovascular mortality,22s tier",True,independently_audited_reported_trajectory,002,8,2,trajectory-explorer/public/data/assembled-trajectories/Cb18543a4eeb7-1.json
C883248ff7bcd/1,OpenAIResearchAug21X,datausa-production-share,Production occupation/cities workforce by year Aug21 slowtier,True,independently_audited_reported_trajectory,002,7,7,trajectory-explorer/public/data/assembled-trajectories/C883248ff7bcd-1.json
C311eb2077f01/1,OpenAIResearchJan02,cashiers-bachelors-2015,Jan02 2027 Cashiers Bachelors2015 12m tier,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/C311eb2077f01-1.json
Cded8d04dd8da/1,OpenAIResearchOct25X,ihme-cvd-deaths,Oct25 2027 cardiovascular mortality17s tier,True,independently_audited_reported_trajectory,002,7,4,trajectory-explorer/public/data/assembled-trajectories/Cded8d04dd8da-1.json
Cd396b3dcd425/1,OpenAIResearchSep22,ihme-cvd-deaths,GBD2021 CVD mortality Sep22 2027 22s,True,independently_audited_reported_trajectory,002,7,2,trajectory-explorer/public/data/assembled-trajectories/Cd396b3dcd425-1.json
C295b1139efd8/1,OpenAIResearchSep23Lang,datausa-language-french,Sep23 French/Cajun language state shares,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/C295b1139efd8-1.json
Ccd3cd82a83cd/1,OpenAIResearcherNov26,datausa-poverty-county,County poverty Nov26 2m50/13s,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/Ccd3cd82a83cd-1.json
Cf4b843ad9b80/1,OpenAIUEFAOct29Scout,uefa-pass-accuracy,Oct29 UEFA U21 pass accuracy,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/Cf4b843ad9b80-1.json
C55d3046e24ac/1,OurMaidsCoordOct11,datausa-maids-wage,Oct11 Maids wages 5m14/21s tier,True,independently_audited_reported_trajectory,002,8,8,trajectory-explorer/public/data/assembled-trajectories/C55d3046e24ac-1.json
